q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,score,category
3,3,3,3,3,4,4,5,5,6,2,4,0,1,2,3,3,1,2,0,3,0,0,0,0,60,Needs Upskilling
4,0,3,1,2,4,2,2,6,3,4,0,4,4,2,2,3,0,3,1,0,1,0,0,3,54,Needs Upskilling
2,4,3,3,1,3,3,2,2,6,1,4,0,2,0,1,3,2,1,2,2,1,0,0,1,49,High Risk
4,2,3,2,0,0,6,2,1,6,2,2,3,2,3,1,2,3,2,0,2,1,1,3,3,56,Needs Upskilling
4,2,4,0,4,4,6,5,2,0,4,3,3,3,0,1,0,1,1,3,3,1,1,0,0,55,Needs Upskilling
1,0,4,3,4,1,3,3,0,0,2,4,2,2,1,0,2,2,3,1,1,0,3,0,0,42,High Risk
2,3,1,0,0,4,3,4,0,5,2,1,0,0,1,1,1,3,0,1,2,1,2,1,1,39,High Risk
2,3,0,1,0,3,3,4,4,4,4,0,1,4,2,3,2,2,3,1,1,0,2,1,3,53,Needs Upskilling
2,4,3,0,1,5,5,1,6,2,4,0,2,0,3,2,3,1,3,3,1,0,0,3,0,54,Needs Upskilling
4,0,1,1,2,1,3,4,0,1,0,1,3,4,4,2,2,0,1,3,3,1,1,0,2,44,High Risk
3,2,0,2,4,3,4,4,2,2,2,1,0,3,3,1,0,2,1,2,2,0,1,1,2,47,High Risk
2,3,2,1,1,5,2,2,3,4,3,4,4,2,1,1,1,3,3,3,1,3,0,1,2,57,Needs Upskilling
4,0,4,1,2,6,5,2,3,1,2,1,1,2,4,1,2,1,2,2,1,3,0,2,3,55,Needs Upskilling
1,3,0,4,1,6,3,5,4,2,2,3,3,2,3,2,0,0,2,1,3,2,3,0,2,57,Needs Upskilling
3,3,2,3,4,1,1,1,5,5,4,2,2,4,3,2,2,3,2,2,3,3,2,1,2,65,Needs Upskilling
1,2,0,3,0,2,1,0,2,1,2,1,0,2,4,0,1,3,1,0,1,0,2,3,0,32,High Risk
3,1,4,2,0,0,2,6,2,0,2,1,1,0,1,3,2,3,1,1,3,0,2,2,0,42,High Risk
4,4,4,2,2,0,6,1,0,2,3,3,0,2,3,0,3,2,3,1,1,3,3,2,2,56,Needs Upskilling
0,4,1,3,3,3,0,1,6,1,4,0,4,3,4,3,2,1,0,2,2,1,0,0,2,50,Needs Upskilling
3,2,3,4,2,5,0,3,2,5,2,0,2,0,1,0,0,3,1,1,0,1,0,0,0,40,High Risk
1,3,0,3,3,0,6,5,1,6,1,4,0,2,4,2,2,2,3,3,3,0,2,2,1,59,Needs Upskilling
4,0,0,4,1,5,5,3,5,1,0,3,3,2,4,0,0,1,3,0,0,1,2,3,3,53,Needs Upskilling
3,3,2,2,1,5,5,1,0,1,3,2,2,1,3,3,1,1,0,2,1,2,3,0,3,50,Needs Upskilling
0,2,4,0,4,3,5,1,1,5,2,2,3,4,1,1,2,2,2,2,1,2,1,0,0,50,Needs Upskilling
0,4,0,2,3,3,0,1,4,6,1,3,0,0,3,3,1,2,3,1,1,3,1,2,3,50,Needs Upskilling
2,3,4,2,4,3,1,4,3,2,2,2,2,1,0,1,1,3,3,3,0,3,2,2,0,53,Needs Upskilling
2,4,0,1,0,0,0,6,4,3,2,0,3,3,0,2,2,1,3,1,1,1,3,0,0,42,High Risk
1,0,1,1,3,6,4,6,3,2,4,2,4,4,1,3,0,0,2,1,3,0,2,1,0,54,Needs Upskilling
3,4,3,1,2,3,3,3,4,6,4,2,4,0,4,0,1,2,2,2,2,3,1,0,0,59,Needs Upskilling
3,4,0,1,0,0,5,1,2,4,4,3,0,2,3,3,1,1,0,1,2,2,2,1,1,46,High Risk
2,1,4,4,0,3,1,6,1,5,1,3,2,0,3,1,2,1,1,0,3,3,1,2,2,52,Needs Upskilling
3,1,1,3,2,4,2,2,3,2,2,2,1,2,1,2,2,3,2,1,2,3,1,1,2,50,Needs Upskilling
3,1,0,0,0,5,2,6,0,1,0,1,2,4,1,0,2,0,1,1,0,2,1,3,1,37,High Risk
0,4,2,2,3,3,3,5,1,5,3,3,4,2,0,3,2,3,1,2,1,0,0,2,3,57,Needs Upskilling
2,2,3,4,4,1,1,5,0,0,4,4,3,3,2,1,2,0,2,1,1,3,0,0,3,51,Needs Upskilling
4,4,0,0,0,5,0,6,1,6,4,4,1,2,1,0,3,0,3,3,1,3,2,0,2,55,Needs Upskilling
2,2,1,4,3,5,0,2,1,2,2,0,0,3,2,2,2,2,0,2,0,3,1,2,3,46,High Risk
