laptop,internet,programming,github,linkedin,coding_freq,projects,internship,ai_tools,resume,total_score,category
10,5,4,5,10,5,5,0,10,5,59,1
10,10,4,10,10,5,0,0,10,5,64,1
10,10,10,0,10,15,10,10,0,5,80,2
10,10,4,5,0,5,5,10,10,5,64,1
0,10,4,5,0,15,0,0,10,5,49,0
0,10,7,10,5,0,10,0,5,5,52,1
0,10,7,10,5,10,5,0,10,5,62,1
10,10,7,0,5,15,0,0,5,5,57,1
10,5,0,5,10,0,5,0,10,5,50,1
10,5,7,0,0,5,5,0,0,5,37,0
0,5,0,5,0,0,10,0,10,0,30,0
10,10,0,0,5,10,10,10,5,5,65,1
10,10,10,5,10,10,10,0,10,0,75,1
10,0,4,5,0,10,5,0,5,0,39,0
0,10,7,5,10,0,5,0,10,0,47,0
0,10,7,5,5,5,10,10,10,0,62,1
10,5,4,10,10,0,0,0,5,0,44,0
10,10,10,5,10,5,5,0,10,5,70,1
10,10,0,0,5,10,5,0,5,0,45,0
10,0,7,10,5,15,0,10,10,5,72,1
10,10,10,0,5,10,5,0,5,0,55,1
0,5,7,5,5,5,10,10,10,5,62,1
10,10,10,5,10,15,10,10,10,5,95,2
10,10,0,5,10,10,0,10,5,5,65,1
10,10,7,0,10,15,0,10,5,5,72,1
10,5,4,5,10,10,5,0,5,5,59,1
0,10,7,10,5,5,10,0,10,5,62,1
10,10,10,5,0,0,0,10,5,0,50,1
10,5,4,5,10,10,10,0,10,5,69,1
0,10,7,5,5,0,0,0,10,5,42,0
10,0,4,0,10,5,5,10,5,5,54,1
0,10,7,5,5,10,5,0,10,5,57,1
0,5,7,10,0,10,10,0,5,5,52,1
10,5,10,0,10,10,5,0,5,5,60,1
10,0,7,0,0,0,5,0,10,5,37,0
10,10,4,0,10,5,5,10,0,5,59,1
10,5,4,5,10,10,10,0,5,0,59,1
0,10,4,10,10,15,10,0,10,5,74,1
10,0,4,0,10,10,0,0,5,5,44,0
10,5,4,5,10,15,10,10,10,0,79,1
0,10,10,0,10,10,5,10,10,0,65,1
10,10,7,10,5,10,0,0,5,5,62,1
0,5,7,0,5,0,5,10,0,5,37,0
10,10,4,5,10,10,0,0,10,0,59,1
10,10,10,10,5,10,10,10,5,5,85,2
10,10,7,10,5,10,10,0,5,0,67,1
10,5,0,5,5,5,0,10,10,5,55,1
10,0,7,5,10,10,5,0,0,5,52,1
10,10,7,5,10,5,10,0,10,5,72,1
0,0,0,0,5,10,10,0,5,5,35,0
10,10,7,0,10,0,5,10,5,5,62,1
10,10,7,5,10,15,10,0,5,5,77,1
10,10,4,0,10,0,5,10,10,0,59,1
10,10,10,0,10,0,5,0,10,5,60,1
10,10,10,5,10,5,10,0,10,5,75,1
10,5,7,10,0,10,5,0,5,5,57,1
0,10,7,5,10,5,5,10,5,5,62,1
0,5,7,0,0,5,5,0,5,0,27,0
0,5,7,0,10,10,10,10,5,0,57,1
10,10,7,10,10,5,10,10,10,0,82,2
10,10,0,0,5,15,5,10,10,5,70,1
10,10,7,0,5,15,5,0,5,5,62,1
10,10,10,5,10,10,5,10,10,5,85,2
10,5,7,5,5,5,5,10,5,5,62,1
10,5,0,5,10,10,5,0,10,5,60,1
10,10,7,0,0,0,10,10,0,5,52,1
0,5,4,0,0,5,5,0,5,0,24,0
10,5,4,10,10,5,5,0,5,5,59,1
0,5,4,0,10,15,0,0,5,0,39,0
10,5,4,5,10,0,5,0,10,0,49,0
10,5,7,10,5,10,10,0,5,5,67,1
0,5,7,5,10,10,5,0,5,5,52,1
0,0,4,5,10,5,0,10,10,5,49,0
10,0,10,0,10,0,5,0,10,5,50,1
10,10,10,5,10,15,5,0,10,5,80,2
10,5,10,10,10,10,0,0,5,5,65,1
10,5,4,10,5,10,5,0,10,5,64,1
0,10,7,0,5,5,5,10,10,5,57,1
10,5,10,0,10,5,5,0,5,5,55,1
0,10,7,10,5,5,5,10,5,0,57,1
10,10,0,10,10,0,5,0,5,5,55,1
10,0,0,10,5,0,10,10,5,5,55,1
10,5,7,0,10,15,5,0,5,5,62,1
0,10,10,5,10,5,5,0,5,5,55,1
10,10,7,10,5,0,5,10,10,5,72,1
10,5,7,5,0,10,5,0,10,0,52,1
10,10,4,5,0,10,10,10,10,5,74,1
10,5,7,0,10,0,5,10,10,5,62,1
10,10,10,5,10,10,10,0,0,0,65,1
10,5,4,0,0,0,0,0,10,5,34,0
0,10,7,5,10,0,5,0,10,5,52,1
10,10,10,10,5,0,10,10,5,0,70,1
10,10,4,5,5,15,5,10,10,5,79,1
10,10,7,10,10,0,5,0,10,5,67,1
10,5,4,0,5,0,5,0,10,5,44,0
10,5,7,5,5,5,10,0,10,5,62,1
10,5,7,10,0,15,0,10,0,0,57,1
10,5,7,0,0,5,10,0,5,0,42,0
0,10,7,0,5,5,0,0,5,5,37,0
0,5,4,5,0,0,10,10,10,5,49,0
0,0,10,0,10,5,5,0,10,5,45,0
10,10,7,10,5,10,10,0,10,5,77,1
10,10,4,10,10,10,5,10,5,5,79,1
10,10,7,5,0,5,10,10,0,5,62,1
10,10,7,0,5,5,0,0,10,0,47,0
10,5,4,5,10,0,0,0,10,0,44,0
10,5,10,10,10,5,5,0,5,0,60,1
10,10,10,0,0,0,0,0,5,5,40,0
10,10,4,5,10,10,0,10,10,0,69,1
0,5,10,5,10,15,10,0,10,5,70,1
10,10,4,5,10,15,10,10,5,5,84,2
0,5,4,0,10,15,5,10,5,5,59,1
10,5,4,10,0,10,10,0,10,5,64,1
10,10,10,0,0,10,5,0,10,5,60,1
10,10,7,0,10,5,5,0,5,5,57,1
10,10,4,10,5,10,10,10,5,5,79,1
10,0,7,10,10,5,5,10,10,5,72,1
0,10,7,0,5,5,10,0,5,5,47,0
10,5,0,0,0,10,5,10,5,5,50,1
10,5,10,0,10,5,5,0,10,5,60,1
10,10,10,0,5,5,0,10,5,5,60,1
10,10,7,0,10,15,0,0,10,5,67,1
10,10,10,0,10,0,0,0,5,5,50,1
0,10,7,5,10,5,10,10,10,5,72,1
10,10,10,10,10,15,10,0,5,5,85,2
10,10,7,5,10,10,10,0,0,5,67,1
10,0,7,5,10,10,5,0,5,5,57,1
10,5,4,0,10,5,5,0,10,5,54,1
0,5,10,10,5,5,0,0,10,5,50,1
10,5,7,10,0,15,5,10,5,5,72,1
10,10,4,10,5,10,5,0,10,0,64,1
10,5,0,10,5,10,10,0,10,5,65,1
0,0,7,10,10,0,5,10,10,5,57,1
10,5,7,5,10,0,0,0,5,0,42,0
10,10,7,0,10,15,0,0,10,5,67,1
10,0,10,5,0,5,0,10,0,5,45,0
10,10,0,10,10,10,5,10,5,5,75,1
10,5,7,10,5,0,10,10,10,5,72,1
10,5,4,5,10,10,5,10,10,5,74,1
10,10,10,0,10,15,10,0,5,5,75,1
10,10,10,5,5,10,5,10,5,5,75,1
10,5,7,10,0,0,5,0,10,0,47,0
10,10,7,5,0,10,0,10,10,5,67,1
10,10,4,5,10,10,10,0,5,5,69,1
10,5,7,0,10,5,10,10,10,5,72,1
0,10,10,5,10,15,0,10,0,5,65,1
10,10,7,10,0,10,5,10,5,5,72,1
10,10,4,5,5,15,5,0,10,5,69,1
0,10,7,10,10,10,5,0,5,5,62,1
10,10,10,5,10,0,10,10,5,5,75,1
10,10,4,5,0,5,5,10,10,5,64,1
10,10,4,0,0,5,5,0,10,5,49,0
0,10,7,10,10,15,0,10,5,0,67,1
10,10,10,5,5,10,0,10,10,5,75,1
10,10,4,5,5,10,0,0,10,0,54,1
10,10,4,5,0,5,0,10,5,0,49,0
10,5,4,10,10,0,10,0,10,5,64,1
10,10,4,0,10,10,10,0,5,5,64,1
10,10,7,10,10,5,0,0,5,5,62,1
10,0,7,0,10,5,10,0,10,5,57,1
10,10,7,5,10,10,0,10,10,5,77,1
10,5,7,0,0,0,5,0,5,5,37,0
10,5,4,5,10,5,5,10,5,5,64,1
10,10,10,5,5,5,5,10,5,5,70,1
0,5,7,0,10,0,5,10,5,5,47,0
10,10,10,5,5,15,5,0,5,5,70,1
